fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.20347,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.21184,0.00715,0.00924,0.94292,0.00055,3.34367,0.95,6.9626,0.53557,1.42251,0.015,0.7741,0.33682,0.0,0.093,0.55629,0.0,0.0,0.0,0.64378,0.0,1.0,0.0,0.0,0.0
0.20494,0.00736,0.00987,0.94292,0.00056,3.34367,0.95,7.07949,0.47308,1.50784,0.0152,0.7741,0.37192,0.0,0.09698,0.51769,0.0,0.0,0.0,0.61573,0.0,0.93253,0.0,0.0,0.0
0.20139,0.00693,0.00924,0.94464,0.00055,3.25254,0.94651,7.08342,0.51649,1.44815,0.01514,0.7741,0.34663,0.0,0.093,0.56321,0.0,0.0,0.0,0.6394,0.0,1.0,0.0,0.0,0.0
0.20103,0.00699,0.00955,0.94398,0.00055,3.1939,0.95,6.21046,0.53557,1.39771,0.01505,0.78323,0.33668,0.0,0.09222,0.58557,0.0,0.0,0.0,0.66078,0.0,1.0,0.0,0.0,0.0
0.20373,0.00678,0.01026,0.98,0.00058,3.92087,0.95,7.3735,0.53427,1.24138,0.01479,0.9,0.38519,0.0,0.09558,0.58101,0.0,0.0,0.0,0.57514,0.0,0.85833,0.0,0.0,0.0
0.19805,0.00765,0.00923,0.97832,0.00056,2.79684,0.86765,6.95984,0.53557,1.47759,0.01174,0.82328,0.33682,0.0,0.09972,0.59757,0.0,0.0,0.0,0.66125,0.0,1.0,0.0,0.0,0.0
0.20862,0.00677,0.00875,0.8968,0.00057,3.2807,0.9009,6.75691,0.55483,1.52698,0.01243,0.7741,0.3119,0.0,0.11415,0.55629,0.0,0.0,0.0,0.63096,0.0,1.0,0.0,0.0,0.0
0.21218,0.00643,0.0107,0.8894,0.00061,3.1973,0.95,6.50784,0.46372,1.51133,0.01412,0.9,0.33335,0.0,0.0925,0.54031,0.0,0.0,0.0,0.66101,0.0,0.88881,0.0,0.0,0.0
0.21406,0.00573,0.00772,0.94292,0.00064,4.10322,0.95,4.39837,0.51048,1.46347,0.01211,0.7253,0.33682,0.0,0.07398,0.6857,0.0,0.0,0.0,0.54352,0.0,1.0,0.0,0.0,0.0
